strategy,type,symbol,oos_sharpe,oos_sortino,oos_max_dd_pct,oos_pnl_pct,oos_win_rate,oos_trade_count,holdout_sharpe,holdout_sortino,holdout_max_dd_pct,holdout_pnl_pct,holdout_win_rate,holdout_trade_count,n_trials
SMACross,Human,BTC,1.6081646742153275,2.7702046382756698,14.163214138566227,55.19964591700002,43.375773135721786,214,-1.7549067897506696,-2.4123957954290693,21.51410845310443,-16.711958912000004,38.311688311688314,154,173
RSIReversal,Human,BTC,5.475347184647926,8.294009201742671,11.430935960473876,68.35238733700001,91.66666666666667,12,-0.5946143417227631,-0.8249121224345387,24.25463547705249,-8.809927343999997,62.5,8,149
BollingerBand,Human,BTC,-0.5073959194504758,-0.548624774226505,1.6272438062082784,-0.7542937299999903,45.28478165274161,185,-0.4065435635867971,-0.5481948060296282,1.965561452455289,-0.5822457830000058,56.09756097560976,123,144
MACDMomentum,Human,BTC,3.832474104873642,5.797394327860511,4.490718397920146,14.484401866999994,80.0,5,0.0,0.0,0.0,0.0,0.0,0,129
SMACross,Human,ZEC,1.6314990467184662,2.4211394308232452,20.879449640314853,48.67227462300001,35.05434782608695,86,2.1607204218542653,3.3389858215825607,25.584309287010676,209.219792569,41.44736842105263,152,113
RSIReversal,Human,ZEC,2.899353767477592,4.289215895814539,20.25260813048283,91.01079978999998,77.77777777777777,14,-0.7248046002893398,-1.0092002354157328,69.13425899939077,-42.250126893,23.809523809523807,42,133
BollingerBand,Human,ZEC,3.7836549935656882,6.080574372444616,24.88398934971119,105.57247486799999,65.69767441860465,172,-0.2970735240866025,-0.4276715383254441,85.08513242077862,-62.495118728,61.024844720496894,644,155
MACDMomentum,Human,ZEC,3.1271675415188196,4.786005276592629,24.686853056545054,44.934829387,28.205128205128204,39,0.5872303450653615,0.8656986013318291,70.85686886258328,6.772639442999993,21.487603305785125,242,90
DQN,RL,BTC,-0.4829,-0.4667,3.6847,-0.6733,0.0,0,-0.4475,-0.4898,7.81,-3.29,0.0,0,3
PPO,RL,BTC,0.651,0.916,3.0907,0.6253,0.0,0,-1.7761,-2.1112,13.85,-9.31,0.0,0,3
PPO_v3,RL,BTC,0.4755,0.6882,3.1427,0.5127,0.0,0,-1.8631,-2.2752,12.9833,-8.9133,0.0,0,3
PPO_v4,RL,BTC,-0.4146,-0.4912,15.6113,1.2247,0.0,0,-0.4044,-0.527,25.1133,-7.8067,0.0,0,3
PPO_v5,RL,BTC,-0.5805,-0.8122,16.04,-6.85,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1
PPO_v6,RL,BTC,-0.3018,-0.3507,5.346,-0.5067,0.0,0,-0.1847,-0.2404,4.6333,-1.4667,0.0,0,3
SAC_v4,RL,BTC,-1.8205,-1.9433,10.9313,-2.8833,0.0,0,-0.6384,-0.8341,12.65,-7.2067,0.0,0,3
DQN,RL,ZEC,-1.2587,-1.1282,20.6653,-8.49,0.0,0,-1.5323,-1.5742,83.05,-77.1333,0.0,0,3
PPO,RL,ZEC,-0.1482,-0.0439,14.058,-1.9987,0.0,0,0.0145,0.0905,46.49,0.5933,0.0,0,3
BuyAndHoldLong,Passive,BTC,0.0,0.0,0.0,0.0,0.0,0,-0.3767429639310008,-0.5233722708993983,75.62504041109194,-41.644918596000004,0.0,1,1
BuyAndHoldLong,Passive,ZEC,0.0,0.0,0.0,0.0,0.0,0,2.8677190356437334,4.315582021861489,73.77505828564395,3328.8912771999994,100.0,1,1
